eta,p,movingaverage,model
0.40900000000000003,2.7055144354828724e-5,Raw,EpiFilter
0.41,2.457422219119034e-5,Raw,EpiFilter
0.41100000000000003,2.2312183165858815e-5,Raw,EpiFilter
0.412,2.0250658612112568e-5,Raw,EpiFilter
0.413,1.8372719688275744e-5,Raw,EpiFilter
0.41400000000000003,1.6662775357239744e-5,Raw,EpiFilter
0.415,1.5106476442856905e-5,Raw,EpiFilter
0.41600000000000004,1.3690625525902957e-5,Raw,EpiFilter
0.417,1.240309243729903e-5,Raw,EpiFilter
0.418,1.1232735102633482e-5,Raw,EpiFilter
0.419,1.0169325491101703e-5,Raw,EpiFilter
0.42,9.203480422804157e-6,Raw,EpiFilter
0.42100000000000004,8.326596990525697e-6,Raw,EpiFilter
0.422,7.530792355962433e-6,Raw,EpiFilter
0.42300000000000004,6.808847684924846e-6,Raw,EpiFilter
0.424,6.154155992096759e-6,Raw,EpiFilter
0.425,5.560673672180738e-6,Raw,EpiFilter
0.426,5.022875501587413e-6,Raw,EpiFilter
0.427,4.53571290237404e-6,Raw,EpiFilter
0.42800000000000005,4.094575268184913e-6,Raw,EpiFilter
0.429,3.695254160099914e-6,Raw,EpiFilter
0.43,3.3339101888264014e-6,Raw,EpiFilter
0.431,3.007042408032243e-6,Raw,EpiFilter
0.432,2.7114600521417676e-6,Raw,EpiFilter
0.43300000000000005,2.444256460366843e-6,Raw,EpiFilter
0.434,2.202785036985493e-6,Raw,EpiFilter
0.435,1.9846371060901312e-6,Raw,EpiFilter
0.436,1.7876215269368949e-6,Raw,EpiFilter
0.437,1.6097459438123481e-6,Raw,EpiFilter
0.438,1.4491995517750923e-6,Raw,EpiFilter
0.439,1.3043372668727743e-6,Raw,EpiFilter
0.44,1.1736651963790566e-6,Raw,EpiFilter
0.441,1.055827311242844e-6,Raw,EpiFilter
0.442,9.495932292861983e-7,Raw,EpiFilter
0.443,8.538470237789554e-7,Raw,EpiFilter
0.444,7.675769777341153e-7,Raw,EpiFilter
0.44499999999999995,6.898662097729932e-7,Raw,EpiFilter
0.446,6.198841025455136e-7,Raw,EpiFilter
0.447,5.568784696032618e-7,Raw,EpiFilter
0.448,5.001684012029449e-7,Raw,EpiFilter
0.449,4.4913773386881773e-7,Raw,EpiFilter
0.44999999999999996,4.0322909260327564e-7,Raw,EpiFilter
0.451,3.619384584516056e-7,Raw,EpiFilter
0.45199999999999996,3.248102177046548e-7,Raw,EpiFilter
0.453,2.9143265236729206e-7,Raw,EpiFilter
0.454,2.614338346295714e-7,Raw,EpiFilter
0.455,2.3447789099896105e-7,Raw,EpiFilter
0.456,2.1026160445724932e-7,Raw,EpiFilter
0.45699999999999996,1.8851132552064233e-7,Raw,EpiFilter
0.458,1.6898016542664598e-7,Raw,EpiFilter
0.459,1.514454468440491e-7,Raw,EpiFilter
0.46,1.3570638950968515e-7,Raw,EpiFilter
0.461,1.215820100621023e-7,Raw,EpiFilter
0.46199999999999997,1.0890921706749175e-7,Raw,EpiFilter
0.463,9.754108382006768e-8,Raw,EpiFilter
0.46399999999999997,8.734528297478788e-8,Raw,EpiFilter
0.465,7.82026684199491e-8,Raw,EpiFilter
0.466,7.000599105204131e-8,Raw,EpiFilter
0.46699999999999997,6.265873625814827e-8,Raw,EpiFilter
0.468,5.607407197477815e-8,Raw,EpiFilter
0.469,5.017389715985958e-8,Raw,EpiFilter
0.47000000000000003,4.4887981407663314e-8,Raw,EpiFilter
0.471,4.015318725737056e-8,Raw,EpiFilter
0.472,3.5912767493192405e-8,Raw,EpiFilter
0.47300000000000003,3.211573042596198e-8,Raw,EpiFilter
0.474,2.871626677203122e-8,Raw,EpiFilter
0.47500000000000003,2.567323232499947e-8,Raw,EpiFilter
0.476,2.2949681140419945e-8,Raw,EpiFilter
0.477,2.0512444436023035e-8,Raw,EpiFilter
0.478,1.833175085002943e-8,Raw,EpiFilter
0.479,1.6380884100636433e-8,Raw,EpiFilter
0.48000000000000004,1.4635874456179074e-8,Raw,EpiFilter
0.481,1.307522075918605e-8,Raw,EpiFilter
0.482,1.1679640051160512e-8,Raw,EpiFilter
0.483,1.0431842121821908e-8,Raw,EpiFilter
0.484,9.316326558401417e-9,Raw,EpiFilter
0.48500000000000004,8.319200099483246e-9,Raw,EpiFilter
0.486,7.428012306269053e-9,Raw,EpiFilter
0.48700000000000004,6.631607753116277e-9,Raw,EpiFilter
0.488,5.9199931112316905e-9,Raw,EpiFilter
0.489,5.284217655190329e-9,Raw,EpiFilter
0.49,4.7162658634331735e-9,Raw,EpiFilter
0.491,4.2089609123854214e-9,Raw,EpiFilter
0.49200000000000005,3.755877979839501e-9,Raw,EpiFilter
0.493,3.3512663790643836e-9,Raw,EpiFilter
0.494,2.9899796400349133e-9,Raw,EpiFilter
0.495,2.6674127410190094e-9,Raw,EpiFilter
0.496,2.379445771699679e-9,Raw,EpiFilter
0.497,2.122393379822911e-9,Raw,EpiFilter
0.498,1.8929594172870225e-9,Raw,EpiFilter
0.499,1.6881962594089194e-9,Raw,EpiFilter
0.5,1.5054683233360274e-9,Raw,EpiFilter
0.501,1.3424193586979394e-9,Raw,EpiFilter
0.502,1.196943126240566e-9,Raw,EpiFilter
0.503,1.0671571185773948e-9,Raw,EpiFilter
0.504,9.513790118883452e-10,Raw,EpiFilter
0.505,8.481055686847741e-10,Raw,EpiFilter
0.506,7.559937399400457e-10,Raw,EpiFilter
0.507,6.738437403210331e-10,Raw,EpiFilter
0.508,6.005838931581729e-10,Raw,EpiFilter
0.509,5.352570624157546e-10,Raw,EpiFilter
0.5099999999999999,4.770085075126407e-10,Raw,EpiFilter
0.511,4.250750135631093e-10,Raw,EpiFilter
0.512,3.787751646656869e-10,Raw,EpiFilter
0.513,3.375006414081964e-10,Raw,EpiFilter
0.514,3.0070843593730337e-10,Raw,EpiFilter
0.5149999999999999,2.679138889015999e-10,Raw,EpiFilter
0.516,2.386844624208178e-10,Raw,EpiFilter
0.517,2.126341720843441e-10,Raw,EpiFilter
0.518,1.8941860893881784e-10,Raw,EpiFilter
