t,swll,k,simulation
37,-13.979380401190696,22,Step-change
38,-6.303411174398093,22,Step-change
39,-6.703973604801348,22,Step-change
40,-8.621543076867852,22,Step-change
41,-6.656440007244214,22,Step-change
42,-3.4012442609657114,22,Step-change
43,-3.965013095367169,22,Step-change
44,-3.2619578970953853,22,Step-change
45,-8.891258639768239,22,Step-change
46,-3.3979631116533255,22,Step-change
47,-4.253924825095453,22,Step-change
48,-3.82217252322954,22,Step-change
49,-3.520570359701594,22,Step-change
50,-3.536743329918181,22,Step-change
51,-3.486819890656534,22,Step-change
52,-4.267108673212306,22,Step-change
53,-3.8991041985918855,22,Step-change
54,-4.408502241236761,22,Step-change
55,-3.6288783413522196,22,Step-change
56,-43.25109849005855,22,Step-change
57,-48.54919463215879,22,Step-change
58,-29.160507943372693,22,Step-change
59,-29.7232943636929,22,Step-change
60,-26.46199147792811,22,Step-change
61,-16.423666405950257,22,Step-change
62,-17.109452705093986,22,Step-change
63,-15.218818720844354,22,Step-change
64,-17.489293998212418,22,Step-change
65,-8.888010845680697,22,Step-change
66,-9.679193809705623,22,Step-change
67,-8.770584615751943,22,Step-change
68,-7.293944862178648,22,Step-change
69,-6.568904701497843,22,Step-change
70,-4.093206062992749,22,Step-change
71,-5.653695426464367,22,Step-change
72,-4.194271943845138,22,Step-change
73,-3.9773121513547096,22,Step-change
74,-4.274075115540057,22,Step-change
75,-4.442168788957645,22,Step-change
76,-2.852963495506316,22,Step-change
77,-3.0986717959342513,22,Step-change
78,-3.0935180160490745,22,Step-change
79,-3.2729284704359713,22,Step-change
80,-3.031604905254312,22,Step-change
81,-2.680371139247711,22,Step-change
82,-2.9508566706636827,22,Step-change
83,-2.6717907832524475,22,Step-change
84,-13.083867776210525,22,Step-change
85,-16.364875875788357,22,Step-change
86,-18.77147102191134,22,Step-change
87,-13.786671909707593,22,Step-change
88,-21.490291949499976,22,Step-change
89,-17.672635083219404,22,Step-change
90,-20.634837891256723,22,Step-change
91,-10.57755150045017,22,Step-change
92,-11.101674888228445,22,Step-change
93,-7.451785184278492,22,Step-change
94,-8.594397464119368,22,Step-change
95,-8.940122980272577,22,Step-change
96,-5.523000476199741,22,Step-change
97,-5.291547247147662,22,Step-change
98,-9.620082247399296,22,Step-change
